"datum";"okres";"orp";"pohlavi";"vek_kat";"pocet_pozitivni";"pocet_vyleceni";"pocet_zemreli";"pocet_umrti_hospitalizace";"pocet_umrti_komplikovany"
"2020-09-15";"CZ0633";"6303";"Z";"65+";"";"1";"1";"0";"0"
"2020-09-17";"CZ0806";"8019";"M";"65+";"7";"";"1";"1";"1"
"2020-09-18";"CZ0722";"7207";"M";"65+";"";"1";"1";"1";"1"
"2020-09-19";"CZ0644";"6407";"M";"65+";"";"";"1";"1";"1"
"2020-09-20";"CZ0100";"0";"M";"65+";"14";"11";"1";"1";"1"
"2020-09-20";"CZ0531";"5304";"Z";"65+";"";"";"1";"1";"1"
"2020-09-20";"CZ0722";"7208";"M";"20-64";"";"1";"1";"0";"0"
"2020-09-21";"CZ0100";"0";"Z";"65+";"7";"2";"1";"1";"0"
"2020-09-21";"CZ0324";"3207";"M";"65+";"";"";"1";"0";"0"
"2020-09-21";"CZ0423";"4208";"M";"65+";"";"";"1";"1";"0"
"2020-09-21";"CZ0633";"6309";"M";"65+";"1";"1";"1";"1";"1"
"2020-09-24";"CZ0202";"2008";"M";"20-64";"2";"1";"1";"1";"1"
"2020-09-24";"CZ0411";"4102";"M";"65+";"";"1";"1";"1";"1"
"2020-09-24";"CZ0643";"6417";"M";"65+";"";"";"1";"1";"1"
"2020-09-25";"CZ0209";"2022";"M";"65+";"";"";"1";"1";"1"
"2020-09-25";"CZ0314";"3108";"M";"65+";"1";"";"1";"1";"0"
"2020-09-25";"CZ0711";"7102";"M";"20-64";"2";"1";"1";"0";"0"
"2020-09-26";"CZ0323";"3209";"M";"65+";"2";"3";"1";"1";"1"
"2020-09-27";"CZ0100";"0";"M";"65+";"10";"13";"2";"2";"0"
"2020-09-27";"CZ0642";"6403";"Z";"65+";"1";"4";"1";"1";"0"
"2020-09-27";"CZ0645";"6410";"M";"20-64";"2";"4";"1";"1";"1"
"2020-09-28";"CZ0100";"0";"Z";"65+";"7";"11";"2";"2";"2"
"2020-09-28";"CZ0313";"3114";"M";"65+";"";"";"1";"1";"1"
"2020-09-30";"CZ0315";"3109";"M";"65+";"1";"";"1";"0";"0"
"2020-10-01";"CZ0311";"3102";"Z";"65+";"6";"1";"2";"0";"0"
"2020-10-01";"CZ0643";"6414";"M";"65+";"";"";"1";"1";"1"
"2020-10-01";"CZ0645";"6410";"Z";"65+";"3";"";"1";"1";"1"
"2020-10-01";"CZ0714";"7109";"Z";"65+";"3";"";"2";"1";"1"
"2020-10-01";"CZ0805";"8009";"M";"65+";"1";"";"1";"1";"1"
"2020-10-02";"CZ0100";"0";"Z";"65+";"29";"15";"1";"1";"1"
"2020-10-02";"CZ0201";"2026";"Z";"65+";"3";"";"1";"1";"1"
"2020-10-02";"CZ0317";"3112";"Z";"65+";"5";"";"1";"1";"1"
"2020-10-02";"CZ0724";"7213";"Z";"65+";"3";"1";"1";"1";"1"
"2020-10-04";"CZ0100";"0";"M";"65+";"33";"9";"1";"1";"1"
"2020-10-04";"CZ0201";"2025";"M";"20-64";"3";"5";"1";"1";"1"
"2020-10-04";"CZ0208";"2013";"Z";"65+";"";"";"1";"1";"1"
"2020-10-05";"CZ0203";"2024";"M";"65+";"1";"1";"1";"1";"1"
"2020-10-05";"CZ0641";"6402";"M";"65+";"7";"1";"1";"1";"0"
"2020-10-06";"CZ020C";"2021";"M";"65+";"2";"";"1";"1";"1"
"2020-10-06";"CZ0411";"4102";"Z";"65+";"2";"1";"1";"1";"1"
"2020-10-06";"CZ0722";"7207";"M";"65+";"6";"1";"1";"1";"1"
"2020-10-07";"CZ0202";"2002";"M";"65+";"2";"";"1";"1";"1"
"2020-10-07";"CZ0311";"3102";"M";"65+";"6";"";"2";"2";"2"
"2020-10-07";"CZ0411";"4101";"M";"65+";"1";"";"1";"0";"0"
"2020-10-07";"CZ0421";"4215";"M";"65+";"";"";"1";"1";"1"
"2020-10-07";"CZ0722";"7207";"Z";"65+";"7";"";"1";"1";"1"
"2020-10-08";"CZ0413";"4107";"Z";"65+";"2";"";"1";"1";"0"
"2020-10-08";"CZ0423";"9999";"Z";"65+";"1";"";"1";"1";"0"
"2020-10-08";"CZ0643";"6417";"M";"65+";"1";"1";"1";"1";"1"
"2020-10-08";"CZ0715";"7111";"Z";"65+";"";"";"1";"0";"0"
"2020-10-09";"CZ0100";"0";"Z";"65+";"92";"11";"2";"2";"0"
"2020-10-09";"CZ0204";"2010";"M";"65+";"5";"3";"1";"1";"1"
"2020-10-09";"CZ0427";"4214";"Z";"65+";"6";"";"1";"1";"0"
"2020-10-09";"CZ0532";"5303";"M";"65+";"2";"";"1";"0";"1"
"2020-10-09";"CZ0534";"5301";"Z";"65+";"";"1";"1";"1";"1"
"2020-10-09";"CZ0634";"6306";"M";"65+";"1";"";"1";"1";"0"
"2020-10-10";"CZ0201";"2001";"M";"20-64";"10";"6";"1";"1";"1"
"2020-10-10";"CZ0204";"2010";"Z";"65+";"6";"2";"1";"1";"0"
"2020-10-10";"CZ0642";"6403";"M";"65+";"8";"4";"4";"3";"3"
"2020-10-10";"CZ0712";"7110";"M";"65+";"1";"1";"1";"1";"1"
"2020-10-10";"CZ0715";"7111";"M";"65+";"";"1";"1";"1";"0"
"2020-03-25";"CZ0203";"2024";"M";"65+";"";"";"1";"0";"0"
"2020-03-29";"CZ0100";"0";"Z";"65+";"2";"";"2";"2";"1"
"2020-03-29";"CZ0532";"5309";"Z";"65+";"";"";"1";"1";"1"
"2020-03-31";"CZ0100";"0";"Z";"65+";"3";"";"2";"2";"2"
"2020-04-06";"CZ0802";"8006";"M";"65+";"";"1";"1";"1";"1"
"2020-04-08";"CZ0323";"3209";"Z";"65+";"1";"";"1";"1";"1"
"2020-04-09";"CZ0209";"2003";"M";"65+";"";"";"1";"1";"1"
"2020-04-11";"CZ0100";"0";"M";"65+";"1";"4";"2";"1";"1"
"2020-04-12";"CZ0644";"6404";"M";"65+";"";"";"1";"1";"1"
"2020-04-13";"CZ0100";"0";"M";"65+";"2";"1";"2";"2";"2"
"2020-04-14";"CZ020A";"2005";"M";"20-64";"";"";"1";"1";"1"
"2020-04-14";"CZ0321";"3202";"Z";"65+";"1";"";"1";"1";"1"
"2020-04-19";"CZ0803";"8008";"Z";"65+";"";"";"1";"0";"0"
"2020-04-20";"CZ0100";"0";"M";"65+";"2";"4";"3";"2";"2"
"2020-04-20";"CZ0642";"6403";"Z";"65+";"";"";"1";"1";"0"
"2020-04-20";"CZ0806";"8019";"Z";"65+";"4";"1";"1";"1";"1"
"2020-04-21";"CZ0512";"5103";"M";"65+";"";"";"1";"1";"1"
"2020-04-21";"CZ0533";"5312";"Z";"65+";"";"";"1";"1";"1"
"2020-04-23";"CZ0100";"0";"Z";"65+";"";"3";"1";"0";"0"
"2020-04-29";"CZ0644";"6411";"Z";"65+";"1";"";"1";"1";"0"
"2020-04-30";"CZ0524";"5213";"M";"65+";"";"";"1";"1";"1"
"2020-05-01";"CZ0424";"4210";"M";"65+";"";"";"1";"1";"0"
"2020-05-07";"CZ0634";"6313";"M";"65+";"";"";"1";"1";"1"
"2020-05-08";"CZ0802";"8006";"M";"65+";"";"";"1";"1";"1"
"2020-05-12";"CZ0411";"4102";"M";"65+";"";"";"1";"1";"1"
"2020-05-13";"CZ0324";"3207";"M";"65+";"";"";"1";"1";"1"
"2020-05-17";"CZ0806";"8019";"Z";"65+";"";"1";"1";"1";"1"
"2020-05-26";"CZ0806";"8019";"Z";"65+";"";"1";"1";"0";"0"
"2020-06-04";"CZ0724";"7213";"M";"65+";"";"";"1";"1";"1"
"2020-06-14";"CZ0803";"8008";"M";"65+";"";"";"1";"1";"1"
"2020-06-18";"CZ0100";"0";"M";"65+";"";"";"1";"1";"0"
"2020-06-20";"CZ0100";"0";"M";"65+";"";"";"1";"0";"0"
"2020-07-02";"CZ0100";"0";"Z";"65+";"";"";"1";"1";"1"
"2020-07-04";"CZ0803";"8004";"M";"65+";"";"";"1";"1";"0"
"2020-07-22";"CZ0642";"6403";"Z";"65+";"";"";"1";"1";"1"
"2020-08-03";"CZ0100";"0";"Z";"65+";"1";"2";"1";"1";"1"
"2020-08-06";"CZ0803";"8002";"Z";"65+";"";"";"1";"1";"0"
"2020-08-20";"CZ0631";"6302";"Z";"65+";"";"";"1";"1";"1"
"2020-08-21";"CZ0522";"5210";"M";"65+";"";"";"1";"0";"0"
"2020-08-23";"CZ0100";"0";"M";"65+";"2";"1";"1";"1";"0"
"2020-08-31";"CZ0100";"0";"M";"20-64";"23";"36";"1";"1";"1"
"2020-09-08";"CZ0205";"2012";"M";"65+";"";"";"1";"1";"1"
"2020-09-12";"CZ0633";"6303";"Z";"65+";"";"7";"2";"1";"1"
"2020-09-13";"CZ0722";"7207";"Z";"65+";"";"";"1";"1";"1"
"2020-09-14";"CZ0312";"3106";"M";"65+";"";"1";"1";"1";"1"
"2020-09-15";"CZ0204";"2010";"M";"65+";"1";"1";"1";"1";"0"
"2020-09-15";"CZ0205";"2012";"M";"65+";"";"";"2";"2";"1"
"2020-09-18";"CZ0646";"6419";"Z";"65+";"1";"";"1";"1";"0"
"2020-09-19";"CZ0724";"7213";"M";"65+";"";"";"1";"1";"1"
"2020-09-20";"CZ0645";"6410";"M";"65+";"";"";"1";"1";"0"
"2020-09-23";"CZ0411";"4102";"M";"65+";"3";"";"2";"1";"1"
"2020-09-23";"CZ0531";"5304";"Z";"65+";"2";"";"1";"1";"1"
"2020-09-23";"CZ0642";"6403";"M";"65+";"1";"";"1";"1";"1"
"2020-09-23";"CZ0806";"8019";"M";"65+";"2";"2";"1";"1";"1"
"2020-09-24";"CZ0722";"7208";"Z";"20-64";"8";"4";"1";"1";"0"
"2020-09-25";"CZ0208";"2013";"M";"65+";"1";"";"1";"1";"0"
"2020-09-25";"CZ0311";"3115";"M";"65+";"";"";"1";"1";"1"
"2020-09-26";"CZ0411";"4102";"Z";"65+";"2";"1";"2";"2";"1"
"2020-09-27";"CZ020B";"2020";"Z";"65+";"";"1";"1";"1";"1"
"2020-09-28";"CZ0323";"9999";"Z";"65+";"";"";"1";"1";"0"
"2020-09-29";"CZ0327";"3215";"M";"65+";"1";"";"1";"1";"1"
"2020-09-29";"CZ0635";"6315";"Z";"65+";"2";"";"1";"1";"1"
"2020-09-29";"CZ0645";"6410";"M";"65+";"2";"";"1";"1";"1"
"2020-09-29";"CZ0712";"7112";"M";"65+";"2";"";"1";"1";"1"
"2020-10-01";"CZ0207";"9999";"Z";"65+";"";"";"1";"1";"0"
"2020-10-01";"CZ0324";"3201";"M";"65+";"";"";"1";"1";"1"
"2020-10-01";"CZ0532";"5309";"M";"65+";"1";"";"1";"1";"1"
"2020-10-01";"CZ0712";"7112";"M";"65+";"1";"";"1";"1";"1"
"2020-10-01";"CZ0801";"8003";"M";"65+";"";"";"1";"0";"0"
"2020-10-02";"CZ0715";"7111";"M";"65+";"2";"";"1";"1";"0"
"2020-10-03";"CZ0100";"0";"M";"65+";"17";"5";"1";"1";"1"
"2020-10-03";"CZ0722";"7207";"M";"65+";"1";"3";"1";"1";"1"
"2020-10-04";"CZ0413";"4107";"M";"65+";"";"";"1";"1";"1"
"2020-10-04";"CZ0641";"6402";"M";"65+";"1";"";"2";"2";"2"
"2020-10-05";"CZ0100";"0";"M";"65+";"29";"6";"2";"2";"2"
"2020-10-05";"CZ0207";"2015";"M";"65+";"4";"3";"1";"1";"1"
"2020-10-05";"CZ0312";"3106";"Z";"65+";"";"";"1";"1";"1"
"2020-10-05";"CZ0313";"3105";"Z";"65+";"7";"";"1";"1";"1"
"2020-10-05";"CZ0643";"6408";"M";"65+";"";"";"1";"1";"1"
"2020-10-05";"CZ0806";"8019";"Z";"65+";"20";"1";"1";"1";"1"
"2020-10-06";"CZ0311";"3102";"M";"65+";"7";"";"1";"1";"0"
"2020-10-06";"CZ0632";"6305";"M";"65+";"2";"";"1";"1";"1"
"2020-10-06";"CZ0722";"7208";"M";"65+";"1";"";"1";"0";"0"
"2020-10-07";"CZ0100";"0";"M";"65+";"42";"8";"3";"3";"2"
"2020-10-07";"CZ0327";"3215";"Z";"65+";"";"";"1";"1";"1"
"2020-10-07";"CZ0643";"6408";"M";"65+";"";"";"1";"1";"0"
"2020-10-08";"CZ0100";"0";"Z";"65+";"48";"6";"2";"2";"1"
"2020-10-08";"CZ0206";"2017";"M";"65+";"";"";"1";"1";"1"
"2020-10-08";"CZ0421";"4212";"M";"65+";"";"";"1";"0";"0"
"2020-10-08";"CZ0722";"7207";"Z";"65+";"10";"1";"1";"1";"1"
"2020-10-08";"CZ0722";"7208";"M";"65+";"9";"";"1";"1";"1"
"2020-10-09";"CZ0423";"4205";"Z";"65+";"1";"";"1";"1";"1"
"2020-10-09";"CZ0712";"7107";"M";"65+";"7";"5";"1";"0";"0"
"2020-10-10";"CZ0100";"0";"Z";"65+";"27";"18";"1";"1";"0"
"2020-10-10";"CZ0523";"5209";"M";"65+";"5";"2";"1";"1";"1"
"2020-10-10";"CZ0634";"6313";"Z";"20-64";"8";"13";"1";"1";"1"
"2020-10-10";"CZ0643";"6414";"Z";"65+";"";"";"1";"1";"1"
"2020-10-10";"CZ0645";"6406";"M";"65+";"";"3";"2";"1";"1"
"2020-10-10";"CZ0645";"6410";"Z";"20-64";"16";"2";"1";"1";"1"
"2020-10-10";"CZ0722";"7207";"Z";"65+";"1";"4";"1";"1";"1"
"2020-10-10";"CZ0805";"8013";"Z";"65+";"";"1";"1";"0";"0"
"2020-10-11";"CZ0712";"7107";"M";"65+";"1";"1";"1";"1";"1"
"2020-10-11";"CZ0801";"8003";"Z";"65+";"1";"";"1";"0";"0"
"2020-10-12";"CZ0209";"2022";"M";"65+";"4";"";"1";"1";"0"
"2020-10-12";"CZ0317";"3112";"M";"65+";"3";"";"1";"0";"0"
"2020-10-12";"CZ0533";"5307";"Z";"65+";"2";"";"1";"1";"1"
"2020-10-12";"CZ0712";"7107";"Z";"65+";"2";"3";"2";"2";"1"
"2020-10-12";"CZ0802";"8006";"M";"65+";"3";"";"1";"0";"0"
