datum;okres;orp;pohlavi;vek_kat;pocet_pozitivni;pocet_vyleceni;pocet_zemreli;pocet_umrti_hospitalizace;pocet_umrti_komplikovany
2020-10-14;CZ0642;6403;Z;65+;17;7;1;1;1
2020-10-14;CZ0802;8021;Z;65+;3;;1;1;1
2020-10-15;CZ0313;3114;M;65+;1;;1;1;1
2020-10-15;CZ0316;3111;Z;65+;2;;1;1;1
2020-10-15;CZ0426;4213;M;65+;4;;1;1;0
2020-10-15;CZ0645;6410;M;65+;5;2;1;1;0
2020-10-16;CZ0533;5307;M;65+;4;1;1;1;1
2020-10-16;CZ0635;6314;M;65+;8;2;1;1;1
2020-10-16;CZ0643;6417;M;65+;2;1;1;1;1
2020-10-16;CZ0724;7205;Z;65+;15;1;1;1;1
2020-10-17;CZ020C;2021;Z;65+;3;1;2;2;1
2020-10-17;CZ0423;4205;M;65+;;4;1;1;1
2020-10-17;CZ0531;5302;Z;65+;;;1;1;0
2020-10-17;CZ0645;6418;Z;65+;6;3;1;1;1
2020-10-17;CZ0712;7112;M;65+;3;;1;0;0
2020-10-18;CZ0317;3110;Z;65+;;;1;1;1
2020-10-18;CZ0634;6313;Z;65+;3;;1;1;0
2020-10-18;CZ0643;6416;Z;65+;1;1;1;1;0
2020-10-19;CZ0202;2002;M;65+;;2;1;0;0
2020-10-19;CZ0207;2015;M;65+;4;1;3;3;0
2020-10-19;CZ0209;2003;M;65+;;4;1;1;1
2020-10-19;CZ0424;4216;Z;65+;2;;1;1;0
2020-10-19;CZ0631;6311;Z;20-64;7;4;1;1;1
2020-10-19;CZ0641;6402;Z;20-64;22;15;1;1;1
2020-10-19;CZ0714;7101;Z;65+;;;1;1;1
2020-10-19;CZ0804;8001;Z;65+;2;;1;1;1
2020-10-20;CZ0521;5205;M;65+;11;6;1;1;0
2020-10-20;CZ0715;7111;M;65+;9;;1;1;1
2020-10-21;CZ0100;0;M;65+;89;23;7;7;2
2020-10-21;CZ0203;2009;M;65+;6;;2;1;0
2020-10-21;CZ0411;4102;Z;65+;3;1;1;0;0
2020-10-21;CZ0521;5212;Z;65+;1;1;1;0;0
2020-10-21;CZ0711;7102;M;20-64;21;3;1;1;1
2020-10-22;CZ0202;2002;Z;65+;8;;1;0;0
2020-10-22;CZ0324;3210;Z;65+;6;;1;1;1
2020-10-22;CZ0512;5103;M;65+;9;2;2;2;1
2020-10-22;CZ0522;5207;Z;65+;5;;1;0;0
2020-10-22;CZ0522;5210;Z;65+;1;;1;1;1
2020-10-22;CZ0631;6311;M;65+;3;1;1;1;1
2020-10-22;CZ0632;6305;M;65+;7;7;2;2;0
2020-10-22;CZ0633;6303;M;65+;2;;1;1;1
2020-10-23;CZ0313;3105;Z;65+;5;5;1;1;1
2020-10-23;CZ0802;8021;Z;65+;9;3;1;0;0
2020-10-24;CZ0100;0;Z;65+;114;62;6;6;3
2020-10-24;CZ0311;3102;M;65+;13;5;1;1;1
2020-10-24;CZ0315;3116;M;20-64;10;4;1;1;1
2020-10-24;CZ0413;4107;M;65+;13;3;2;0;0
2020-10-24;CZ0641;6401;Z;65+;3;2;1;1;1
2020-10-24;CZ0647;6420;M;65+;8;;1;1;1
2020-10-24;CZ0723;7206;M;65+;7;2;1;1;1
2020-10-25;CZ0514;5107;M;65+;3;4;1;1;1
2020-10-25;CZ0533;5307;M;65+;2;1;1;1;1
2020-10-25;CZ0534;5313;Z;65+;2;;2;2;1
2020-10-25;CZ0635;6314;M;65+;1;8;2;2;2
2020-11-06;CZ0203;2009;M;65+;9;;3;2;2
2020-11-06;CZ0311;3102;Z;65+;37;;3;3;3
2020-11-06;CZ0323;3209;Z;65+;17;;1;1;0
2020-11-06;CZ0413;4107;Z;65+;2;;2;2;0
2020-11-06;CZ0426;4201;M;65+;;;1;1;1
2020-11-06;CZ0643;6414;M;65+;;;1;1;1
2020-11-06;CZ0724;7213;M;65+;9;;3;3;0
2020-11-06;CZ0804;8001;M;65+;2;;1;1;0
2020-11-07;CZ0316;3111;M;20-64;52;;1;1;0
2020-11-07;CZ0523;5211;M;65+;3;;1;1;1
2020-11-07;CZ0534;5313;Z;65+;2;2;1;1;1
2020-11-07;CZ0632;6305;Z;65+;5;;1;1;0
2020-11-07;CZ0641;6402;Z;65+;3;;1;1;1
2020-11-08;CZ0204;2010;M;20-64;9;;1;1;0
2020-11-08;CZ0321;3204;M;65+;;;2;2;1
2020-11-08;CZ0425;4206;M;65+;1;;1;1;0
2020-11-08;CZ0425;4209;M;65+;5;;1;1;0
2020-11-08;CZ0641;6402;Z;65+;;;1;1;0
2020-11-08;CZ0712;7107;M;65+;7;;3;3;2
2020-11-08;CZ0805;8022;M;65+;1;;1;1;0
2020-11-09;CZ0323;3209;Z;65+;10;1;1;1;0
2020-11-09;CZ0514;5109;M;65+;2;;1;1;0
2020-11-09;CZ0524;5213;Z;65+;1;;1;1;1
2020-11-09;CZ0802;8021;M;65+;3;;1;1;0
2020-03-25;CZ0712;7105;M;65+;1;;1;0;0
2020-03-30;CZ0100;0;Z;65+;4;;2;2;1
2020-04-01;CZ0412;4103;M;65+;;;1;1;1
2020-04-01;CZ0805;8022;Z;65+;1;;1;1;1
2020-04-02;CZ0209;2003;Z;65+;;;1;1;1
2020-04-07;CZ0203;2024;Z;65+;;;1;1;1
2020-04-08;CZ0514;5104;Z;65+;;;1;1;0
2020-04-08;CZ0722;7208;M;65+;2;;1;1;1
2020-04-12;CZ0100;0;M;65+;2;2;1;1;1
2020-04-12;CZ0203;2009;M;65+;;;1;1;0
2020-04-24;CZ0100;0;Z;65+;3;4;1;1;1
2020-04-29;CZ0423;4208;Z;65+;;;1;1;1
2020-05-04;CZ0806;8019;M;65+;;1;1;1;1
2020-05-22;CZ0806;8019;M;65+;;;2;2;2
2020-07-12;CZ0802;8021;Z;65+;;;1;0;0
2020-07-24;CZ0645;6406;Z;65+;1;;1;0;1
2020-07-29;CZ0632;6305;M;65+;;;1;0;0
2020-08-02;CZ0632;6305;M;65+;;;1;0;0
2020-08-19;CZ0205;2004;Z;65+;;;1;1;1
2020-08-26;CZ0100;0;M;65+;3;2;1;1;1
2020-09-04;CZ0100;0;Z;20-64;82;22;1;1;1
2020-09-09;CZ0100;0;M;65+;12;5;1;1;1
2020-09-17;CZ0806;8019;M;65+;7;;1;1;1
2020-09-18;CZ0722;7207;M;65+;;1;1;1;1
2020-09-19;CZ0644;6407;M;65+;;;1;1;1
2020-09-20;CZ0100;0;M;65+;14;15;1;1;1
2020-09-20;CZ0531;5304;Z;65+;;;1;1;1
2020-09-21;CZ0100;0;Z;65+;8;2;1;1;0
2020-09-21;CZ0423;4208;M;65+;2;;1;1;0
